"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"31-Mar",0,0,-999,0,0,0,0,0,0,3.15714359283447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Apr",0,0,0,0,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7866592407227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93199396133423,0,0,0,0,0,
"3-Apr",0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"4-Apr",0,0,-999,0,0,0,0,0,13.9040231704712,0,0,0,0,0,0,0,0,0,0,0,0,3.32656383514404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"5-Apr",0,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,3.5101637840271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"6-Apr",0,0,0,0,0,0,-999,0,11.1571340560913,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"7-Apr",0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97661209106445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8-Apr",-999,0,0,0,0,0,0,0,2.11874055862427,0,0,0,0,0,0,0,0,0,0,0,7.86918306350708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"9-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55950474739075,0,0,0,0,0,
"10-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06915187835693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"11-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"12-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"13-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59571290016174,0,0,0,0,0,
"14-Apr",0,0,7.66958332061768,3.61697554588318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"15-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71644926071167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"16-Apr",0,0,0,0,0,0,0,0,0,2.54929757118225,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18326902389526,0,0,0,0,0,0,0,0,0,0,
"17-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"18-Apr",0,0,9.51161193847656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,0,0,3.61325001716614,0,0,0,0,0,0,0,0,0,0,0,
"19-Apr",0,0,0,0,0,0,-999,0,0,0,0,0,0,0,3.77447104454041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2021045684814,0,0,0,0,0,
"20-Apr",0,0,0,0,0,0,0,0,0,1.7322039604187,0,0,0,0,28.4045391082764,-999,0,0,0,0,0,0,0,0,0,4.29997158050537,0,0,0,0,0,12.1256799697876,0,0,0,0,0,
"21-Apr",0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"22-Apr",0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50887978076935,0,0,0,0,0,
"23-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82788968086243,0,0,0,0,0,0,0,0,5.01304340362549,0,0,0,0,0,
"24-Apr",0,0,0,0,0,0,0,0,0,0,3.02152395248413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1349039077759,0,0,0,0,0,
"25-Apr",-999,0,0,5.64088726043701,0,0,0,0,0,0,4.98874521255493,0,0,0,0,3.68662691116333,0,0,0,0,0,0,0,0,0,2.97264885902405,3.45400261878967,0,0,0,0,0,0,0,0,0,0,
"26-Apr",-999,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39557933807373,0,0,0,0,0,0,0,0,0,0,0,
"27-Apr",-999,0,-999,0,0,0,-999,0,0,0,0,0,0,0,4.67643356323242,0,0,0,0,0,2.15304183959961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"28-Apr",-999,0,-999,0,0,0,-999,0,0,0,0,0,0,0,0,4.51616859436035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"29-Apr",-999,0,-999,0,0,0,0,0,0,0,0,20.3927116394043,0,0,5.44561958312988,0,0,0,0,0,0,0,0,0,27.0634098052979,0,0,0,0,0,0,0,0,0,0,0,0,
"30-Apr",-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49759614467621,0,0,0,0,0,0,0,0,0,
"1-May",0,0,0,-999,0,0,0,0,4.9562349319458,0,0,0,0,0,0,0,21.8864440917969,0,0,0,0,0,0,2.29170441627502,0,0,0,16.3509368896484,0,0,0,0,0,0,0,0,0,
"2-May",0,0,10.5276365280151,0,0,0,0,0,0,0,0,0,0,0,7.40601396560669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9474964141846,0,0,0,0,
"3-May",0,9.7891321182251,0,0,0,4.48681020736694,4.47266340255737,0,0,0,0,0,0,15.8605432510376,4.181715965271,0,0,0,0,0,0,0,10.8266506195068,0,0,0,4.70905733108521,0,0,0,0,0,3.44596195220947,0,0,0,0,
"4-May",0,0,-999,0,0,0,0,0,2.21360349655151,0,0,4.74986791610718,0,0,30.0293369293213,0,0,0,0,0,0,0,0,0,0,0,7.62736177444458,0,0,0,0,0,0,13.07386302948,0,0,0,
"5-May",0,0,-999,0,0,0,29.656156539917,0,0,0,0,7.63502359390259,0,13.9602556228638,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"6-May",0,0,-999,0,0,0,7.40009069442749,0,0,0,0,0,7.6557469367981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7024116516113,0,7.85748147964478,0,
"7-May",0,0,0,0,0,0,0,0,0,0,0,0,4.3264422416687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"8-May",8.3725414276123,0,0,0,0,0,18.5028705596924,0,3.93740510940552,0,0,0,0,7.71878576278687,0,2.34862303733826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56756782531738,0,0,0,0,13.3198547363281,0,
"9-May",4.08011293411255,0,0,0,0,0,13.0762805938721,2.13611793518066,0,0,0,0,0,7.09607458114624,0,11.1098861694336,27.5112571716309,0,0,0,0,0,0,10.8881053924561,0,0,0,0,0,0,5.714919090271,0,0,19.0398120880127,0,0,0,
"10-May",6.31574678421021,0,0,0,0,0,9.7430362701416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99710130691528,0,0,0,0,0,0,7.0372200012207,0,30.4381370544434,0,0,9.73721790313721,0,0,0,
"11-May",17.339958190918,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,17.6751499176025,0,0,0,0,0,6.31698751449585,0,0,0,0,0,0,0,0,7.9716739654541,0,0,0,0,0,7.17250680923462,
"12-May",9.53259468078613,0,0,0,0,0,0,0,9.36424732208252,0,0,0,0,0,8.07376194000244,0,0,10.9877052307129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1511001586914,0,0,0,0,
"13-May",1.83568155765533,0,0,0,0,0,0,0,24.4914436340332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5417461395264,0,0,0,0,5.07295703887939,0,0,0,0,0,12.5736837387085,0,0,
"14-May",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80976438522339,0,0,0,0,0,0,0,12.2620477676392,0,0,0,0,0,0,0,0,0,0,0,
"15-May",0,0,0,0,0,0,0,0,0,0,0,0,0,1.52800285816193,0,0,0,12.7846670150757,0,0,0,0,0,3.89874124526978,0,0,0,0,0,0,0,0,0,0,5.63094663619995,0,0,
"16-May",0,16.0558815002441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99847459793091,0,0,0,0,0,0,2.87131094932556,11.4752836227417,18.0000019073486,0,0,0,0,0,0,0,0,13.2535848617554,0,0,
"17-May",0,6.12299156188965,0,0,0,0,-999,0,0,0,3.18070459365845,0,0,0,0,0,0,0,0,0,0,0,0,4.50119066238403,0,0,0,0,0,3.65717792510986,0,0,0,22.0037536621094,0,0,0,
"18-May",0,0,0,0,3.63118743896484,0,0,0,0,9.26304626464844,0,9.30559349060059,0,0,0,0,0,0,0,0,0,0,0,0,2.55622100830078,0,0,0,0,0,0,0,0,4.25209808349609,30.2452564239502,0,0,
"19-May",0,0,5.29369640350342,0,0,0,8.7989673614502,0,0,10.34033203125,6.67952060699463,0,0,0,0,0,0,4.11750841140747,0,0,0,5.03600978851318,0,0,0,0,0,0,0,0,0,0,0,9.36723899841309,4.92845487594604,0,0,
"20-May",0,0,-999,-999,0,8.85612678527832,8.42586231231689,0,3.10650253295898,0,3.41975855827332,0,0,17.3348274230957,20.3763751983643,0,0,3.5044424533844,0,0,0,18.8498306274414,0,0,0,0,0,0,0,0,0,0,0,21.2745113372803,0,0,0,
"21-May",0,0,0,-999,8.06807041168213,31.2001323699951,0,0,7.81994199752808,0,0,0,0,15.0207672119141,4.74824714660645,-999,0,0,0,0,0,0,0,0,0,0,0,0,4.10760879516602,0,0,5.24044942855835,0,20.4607257843018,14.8218631744385,17.1035976409912,0,
"22-May",3.75617361068726,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42568492889404,0,0,0,0,0,0,6.83863496780396,4.08554553985596,0,0,13.8176794052124,0,0,5.82522487640381,0,0,
"23-May",0,0,11.2554321289062,0,0,43.073974609375,-999,0,0,0,0,17.7920246124268,0,0,0,0,3.94571876525879,0,0,0,0,10.2192583084106,8.8362922668457,0,0,10.3392753601074,0,0,6.40680694580078,0,0,0,0,0,0,0,0,
"24-May",0,0,7.13741779327393,0,20.121223449707,0,-999,0,0,0,9.86594772338867,0,3.4242696762085,0,0,0,0,0,4.12558746337891,0,4.83475637435913,0,13.0064344406128,0,0,9.1929931640625,0,5.16885185241699,14.0629253387451,0,0,2.09187960624695,0,0,3.2726686000824,5.28234481811523,9.2464599609375,
"25-May",0,0,0,0,0,0,0,0,0,0,5.64423942565918,0,0,0,2.41445994377136,0,1.229621052742,0,0,0,0,0,16.0580387115479,0,0,0,0,0,14.2028970718384,0,0,0,0,12.7954893112183,0,0,5.86204957962036,
"26-May",0,0,12.3449153900146,0,6.71688985824585,0,0,0,0,0,4.56320571899414,0,0,0,22.1482257843018,0,3.88309788703918,8.86429119110107,29.7255363464355,0,4.53734540939331,2.46358561515808,0,0,18.0000019073486,4.25685548782349,0,0,0,29.3555812835693,4.32494640350342,0,0,0,0,0,0,
"27-May",0,0,0,0,0,0,0,0,0,0,12.59743309021,0,0,0,0,0,0,0,10.6564064025879,0,0,1.50942575931549,0,0,0,5.48301076889038,0,0,14.6931638717651,0,0,7.36641788482666,16.0830230712891,0,0,13.1403036117554,17.6938877105713,
"28-May",0,7.82489347457886,0,0,6.77795219421387,0,0,0,3.74132776260376,0,3.17024827003479,0,0,4.81139087677002,2.20760560035706,2.70477771759033,0,0,0,0,0,0,8.98933696746826,0,0,0,0,0,6.47845458984375,9.21402931213379,0,0,0,0,11.2936592102051,14.0523157119751,12.9742517471313,
"29-May",0,0,6.00313901901245,0,16.8465480804443,3.89639091491699,0,0,0,3.73433399200439,1.38232815265656,15.2881097793579,9.19969654083252,0,2.76100492477417,0,0,1.25341129302979,0,10.7145109176636,3.66833519935608,5.00229597091675,4.90549564361572,0,0,0,0,9.26697444915771,20.7875289916992,7.72842979431152,0,10.2774114608765,0,0,0,28.5208168029785,0,
